time,theta,theta_ref,tau_out,tau1,tau2,q1,q2,dq1,dq2,z
18.814,-4.801052768588568e-06,0.0,1.905200364416607e-05,0.0009558819806261666,-0.0003526637470814993,-0.24529385805493675,0.15042813018366505,0.01942212819591913,-0.011910753552998008,-0.027512855940660597
18.816,-4.800292778136053e-06,0.0,1.9048987052019957e-05,0.0009557306326772425,-0.00035260790897965837,-0.24525501994885576,0.15040431244831715,0.019419053040495387,-0.011908867673953896,-0.027508499748247605
18.818,-4.799532904942172e-06,0.0,1.904597093805943e-05,0.0009555793086971507,-0.00035255207971531346,-0.2452161879921121,0.15038049848412963,0.019415978371829862,-0.011906982093752575,-0.027504144245563616
18.82,-4.798773149039884e-06,0.0,1.9042955302188546e-05,0.0009554280086818113,-0.00035249625928714123,-0.2451773621837324,0.15035668829050494,0.019412904189847927,-0.0119050968123424,-0.02749978943249944
18.822,-4.798013510467353e-06,0.0,1.9039940144336284e-05,0.0009552767326276073,-0.00035244044769379353,-0.24513854252274345,0.1503328818668456,0.01940983049447497,-0.011903211829671809,-0.027495435308945874
18.824,-4.797253989255804e-06,0.0,1.903692546440776e-05,0.0009551254805304692,-0.0003523846449339362,-0.24509972900817217,0.1503090792125542,0.019406757285636313,-0.011901327145689321,-0.027491081874793745
18.826,-4.796494585439931e-06,0.0,1.903391126232589e-05,0.0009549742523866649,-0.00035232885100622464,-0.24506092163904566,0.15028528032703353,0.019403684563257282,-0.01189944276034354,-0.0274867291299339
18.828,-4.79573529905096e-06,0.0,1.903089753800349e-05,0.000954823048192259,-0.0003522730659093192,-0.24502212041439114,0.15026148520968638,0.019400612327263162,-0.011897558673583145,-0.0274823770742572
18.830000000000002,-4.794976130116646e-06,0.0,1.9027884291343207e-05,0.0009546718679431397,-0.0003522172896418861,-0.244983325333236,0.15023769385991567,0.01939754057757916,-0.0118956748853569,-0.02747802570765452
18.832,-4.794217078673418e-06,0.0,1.9024871522286196e-05,0.000954520711635911,-0.000352161522202568,-0.24494453639460773,0.15021390627712444,0.01939446931413055,-0.011893791395613645,-0.027473675030016752
18.834,-4.793458144745563e-06,0.0,1.9021859230728498e-05,0.0009543695792663175,-0.0003521057635900293,-0.24490575359753405,0.15019012246071584,0.01939139853684251,-0.011891908204302293,-0.027469325041234817
18.836000000000002,-4.792699328362571e-06,0.0,1.901884741659058e-05,0.0009542184708305824,-0.0003520500138029274,-0.24486697694104279,0.15016634241009308,0.0193883282456402,-0.011890025311371837,-0.027464975741199642
18.838,-4.791940629553931e-06,0.0,1.9015836079796403e-05,0.0009540673863249755,-0.000351994272839907,-0.2448282064241619,0.15014256612465954,0.01938525844044879,-0.011888142716771338,-0.027460627129802174
18.84,-4.791182048343931e-06,0.0,1.9012825220252473e-05,0.0009539163257454423,-0.0003519385406996279,-0.24478944204591951,0.15011879360381863,0.019382189121193393,-0.011886260420449933,-0.027456279206933373
18.842,-4.790423584756856e-06,0.0,1.900981483786867e-05,0.0009537652890880045,-0.0003518828173807567,-0.24475068380534393,0.15009502484697393,0.01937912028779906,-0.011884378422356836,-0.027451931972484227
18.844,-4.789665238822197e-06,0.0,1.900680493257911e-05,0.0009536142763491326,-0.00035182710288193114,-0.24471193170146355,0.15007125985352904,0.019376051940190896,-0.011882496722441327,-0.027447585426345733
18.846,-4.788907010562504e-06,0.0,1.9003795504293305e-05,0.0009534632875248125,-0.0003517713972018077,-0.24467318573330696,0.15004749862288774,0.01937298407829395,-0.011880615320652753,-0.027443239568408904
18.848,-4.788148899996861e-06,0.0,1.9000786552910058e-05,0.0009533123226108608,-0.0003517157003390545,-0.24463444589990288,0.15002374115445385,0.019369916702033182,-0.011878734216940542,-0.02743889439856478
18.85,-4.7873909071547566e-06,0.0,1.899777807837313e-05,0.0009531613816039272,-0.0003516600122923094,-0.2445957122002802,0.14999998744763135,0.019366849811333638,-0.01187685341125418,-0.027434549916704402
18.852,-4.7866330320552736e-06,0.0,1.89947700805876e-05,0.0009530104644999192,-0.00035160433306022517,-0.24455698463346795,0.14997623750182426,0.019363783406120286,-0.01187497290354322,-0.02743020612271885
18.854,-4.785875274720963e-06,0.0,1.8991762559475486e-05,0.0009528595712950715,-0.00035154866264144804,-0.24451826319849532,0.14995249131643676,0.019360717486318096,-0.01187309269375728,-0.027425863016499206
18.856,-4.785117635169173e-06,0.0,1.8988755514940924e-05,0.0009527087019852846,-0.00035149300103464245,-0.2444795478943916,0.14992874889087307,0.019357652051851974,-0.01187121278184605,-0.02742152059793657
18.858,-4.784360113424188e-06,0.0,1.898574894691881e-05,0.0009525578565670363,-0.00035143734823844184,-0.24444083872018632,0.14990501022453756,0.019354587102646863,-0.011869333167759274,-0.027417178866922066
18.86,-4.7836027095050915e-06,0.0,1.898274285532604e-05,0.0009524070350364492,-0.00035138170425149046,-0.24440213567490907,0.14988127531683468,0.019351522638627685,-0.011867453851446759,-0.027412837823346824
18.862000000000002,-4.782845423427495e-06,0.0,1.8979737240068363e-05,0.0009522562373894481,-0.00035132606907244227,-0.24436343875758962,0.14985754416716895,0.0193484586597193,-0.011865574832858375,-0.027408497467102003
18.864,-4.782088255212216e-06,0.0,1.8976732101075196e-05,0.0009521054636224046,-0.0003512704426999389,-0.24432474796725792,0.14983381677494506,0.019345395165846588,-0.01186369611194405,-0.027404157798078775
18.866,-4.781331204873132e-06,0.0,1.8973727438250847e-05,0.0009519547137312174,-0.00035121482513263857,-0.24428606330294406,0.14981009313956775,0.019342332156934365,-0.011861817688653777,-0.027399818816168327
18.868000000000002,-4.780574272432794e-06,0.0,1.8970723251537077e-05,0.0009518039877124814,-0.00035115921636916665,-0.24424738476367824,0.14978637326044186,0.019339269632907517,-0.011859939562937597,-0.02739548052126187
18.87,-4.7798174578998764e-06,0.0,1.896771954082261e-05,0.0009516532855617977,-0.0003511036164081876,-0.24420871234849087,0.14976265713697237,0.019336207593690802,-0.011858061734745622,-0.027391142913250625
18.872,-4.779060761295195e-06,0.0,1.896471630604745e-05,0.0009515026072757417,-0.0003510480252483375,-0.24417004605641246,0.1497389447685643,0.01933314603920904,-0.011856184204028009,-0.027386805992025833
18.874,-4.778304182632628e-06,0.0,1.8961713547126313e-05,0.0009513519528503899,-0.00035099244288826063,-0.24413138588647368,0.14971523615462284,0.01933008496938703,-0.011854306970734977,-0.02738246975747875
